Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
28;A Thams, N Zech, D Rempel, A Ayia-Koi;an initial assessment of economic impacts and operational challenges for the tourism  hospitality industry due to covid-19;2020;;econstor.eu;https://www.econstor.eu/handle/10419/216762;https://scholar.google.com/scholar?cites=9743715276539969388&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:44;;;;;;;;;28;2800;7;4;1;The tourism and hospitality industry currently faces one of its most serious operational, commercial, and financial crises as a result of the worldwide spread of COVID-19. Both destinations and source markets are substantially affected and have suspended operations …;https://www.econstor.eu/bitstream/10419/216762/1/1696970539.pdf;https://scholar.google.com/scholar?q=related:bD-2amuhOIcJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hospitality+intitle:economic&hl=en&as_sdt=2007
24;WM Lim, WM To;the economic impact of a global pandemic on the tourism economy the case of covid-19 and macaos destination-and gambling-dependent economy;2021;Current Issues in Tourism;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/13683500.2021.1910218;https://scholar.google.com/scholar?cites=8258173980697902190&as_sdt=2005&sciodt=2007&hl=en;7;16.12.2021 01:42;;10.1080/13683500.2021.1910218;;;;;;;24;2400;12;2;1;Availability of full-year economic data is indicative of an opportune time to compare and contrast predicted and actual economic impact. In this regard, this study delineates the impact of the COVID-19 pandemic on the gambling industry using Macao, the world's largest …;;https://scholar.google.com/scholar?q=related:bjzfVHvtmnIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
23;A Joshi, P Bhaskar, PK Gupta;indian economy amid covid-19 lockdown a prespective;2020;J. Pure Appl. Microbiol;pdfs.semanticscholar.org;https://pdfs.semanticscholar.org/f496/f1e11d2d35ba1c652e7fb3bd41d25ac5eda6.pdf;https://scholar.google.com/scholar?cites=1285869818237432219&as_sdt=2005&sciodt=2007&hl=en;2;16.12.2021 01:40;PDF;;;;;;;;23;2300;8;3;1;COVID-19 virus has resulted in the lockdown of schools, offices, factories, temples, railway stations, and even the airspace. It is estimated that due to the lockdown, the Indian economy may face prolonged adverse impact. The paper is an attempt to ascertain the impact of …;https://pdfs.semanticscholar.org/f496/f1e11d2d35ba1c652e7fb3bd41d25ac5eda6.pdf;https://scholar.google.com/scholar?q=related:mzFwb8lT2BEJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
23;C Breisinger, A Abdelatif, M Raouf, M Wiebelt;covid-19 and the egyptian economy estimating the impacts of expected reductions in tourism suez canal revenues and remittances;2020;;books.google.com;https://books.google.com/books?hl=en&lr=&id=NUjaDwAAQBAJ&oi=fnd&pg=PA3&dq=%22covid+19%22+tourism+economy&ots=_h4zr7Fvm2&sig=hry8JfSINv1XKqNssXupMKuz9q4;https://scholar.google.com/scholar?cites=414036099108638691&as_sdt=2005&sciodt=2007&hl=en;3;16.12.2021 01:34;BOOK;;;;;;;;23;2300;6;4;1;Egypt's recent economic success will almost certainly be interrupted by the COVID-19 pandemic. We examine the likely impact on the Egyptian economy of a significant reduction in tourism, payments received from the Suez Canal, and remittances from Egyptians working …;https://books.google.com/books?hl=en&lr=&id=NUjaDwAAQBAJ&oi=fnd&pg=PA3&dq=%22covid+19%22+tourism+economy&ots=_h4zr7Fvm2&sig=hry8JfSINv1XKqNssXupMKuz9q4;https://scholar.google.com/scholar?q=related:4w-Pc6PzvgUJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economy&hl=en&as_sdt=2007
22;A Gupta, H Zhu, MK Doan, A Michuda, ...;economic impacts of the covid? 19 lockdown in a remittance?dependent region;2021;American Journal of …;Wiley Online Library;https://onlinelibrary.wiley.com/doi/abs/10.1111/ajae.12178;https://scholar.google.com/scholar?cites=15216136114552373883&as_sdt=2005&sciodt=2007&hl=en;2;16.12.2021 01:42;;10.1111/ajae.12178;;;;;;;22;2200;4;5;1;The economic impacts of COVID?19 lockdowns on poor and vulnerable households living in rural areas of developing countries are not well understood due to a lack of detailed micro?survey data at the household level. Utilizing weekly financial transaction data collected from …;https://vtechworks.lib.vt.edu/bitstream/handle/10919/101681/AJAE%202020.pdf?sequence=2&isAllowed=y;https://scholar.google.com/scholar?q=related:ewLjeS2TKtMJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
22;R Steffen, S Lautenschlager, J Fehr;travel restrictions and lockdown during the covid-19 pandemicimpact on notified infectious diseases in switzerland;2020;Journal of Travel Medicine;academic.oup.com;https://academic.oup.com/jtm/article-pdf/doi/10.1093/jtm/taaa180/35282304/taaa180.pdf;https://scholar.google.com/scholar?cites=1520891623688162614&as_sdt=2005&sciodt=2007&hl=en;3;16.12.2021 01:40;;10.1093/jtm/taaa180/35282304/taaa180;;;;;;;22;2200;7;3;1;The COVID-19 pandemic declared by the World Health Organization on 11 March 2020 resulted in unprecedented travel restrictions. Among 217 destinations (countries and territories) accounted for by the World Tourism Organization 123 (57%) had introduced …;;https://scholar.google.com/scholar?q=related:Ns3Mq99KGxUJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
20;RK Biswas, S Huq, A Afiaz;relaxed lockdown in bangladesh during covid-19 should economy outweigh health;2020;International Journal of Health Policy …;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7719201/;https://scholar.google.com/scholar?cites=6593274427271407433&as_sdt=2005&sciodt=2007&hl=en;5;16.12.2021 01:40;HTML;;;;;;;;20;2000;7;3;1;The ongoing coronavirus disease 2019/severe acute respiratory syndrome coronavirus 2 (COVID-19/SARS-CoV-2) pandemic has challenged scientists and policy-makers worldwide. As of June 5, 2020, it has spread across 216 countries, infected 6.5 million …;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7719201/;https://scholar.google.com/scholar?q=related:SectsCgEgFsJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
20;KP Kannan;covid-19 lockdown protecting the poor means keeping the indian economy afloat;2020;Economic & Political Weekly;;;https://scholar.google.com/scholar?cites=16289700923914010833&as_sdt=2005&sciodt=2007&hl=en;54;16.12.2021 01:40;CITATION;;;;;;;;20;2000;20;1;1;;;https://scholar.google.com/scholar?q=related:0UA_C6-kEOIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
18;G Bonaccorsi, F Pierri, M Cinelli, F Porcelli, ...;evidence of economic segregation from mobility lockdown during covid-19 epidemic;2020;arXiv preprint arXiv …;arxiv.org;https://arxiv.org/abs/2004.05455;https://scholar.google.com/scholar?cites=2181609678421900563&as_sdt=2005&sciodt=2007&hl=en;6;16.12.2021 01:42;;;;;;;;;18;1800;4;5;1;In response to the COVID-19 pandemic, National governments have applied lockdown restrictions to reduce the infection rate. We perform a massive analysis on near real-time Italian data provided by Facebook to investigate how lockdown strategies affect economic …;https://arxiv.org/pdf/2004.05455;https://scholar.google.com/scholar?q=related:Ez3koHGiRh4J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
17;O Anguera-Torrell, JP Aznar-Alarcón, ...;covid-19 hotel industry response to the pandemic evolution and to the public sector economic measures;2020;Tourism Recreation …;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/02508281.2020.1826225;https://scholar.google.com/scholar?cites=5506682304993854510&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:45;;10.1080/02508281.2020.1826225;;;;;;;17;1700;6;3;1;The hotel industry is one of the most negatively impacted economic sectors by the COVID-19. Its recovery relies on the capacity to control the pandemic and to the macroeconomic efficiency of the policies undertaken by public institutions to enhance general economic …;;https://scholar.google.com/scholar?q=related:LoQWeGGqa0wJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hotel+intitle:economic&hl=en&as_sdt=2007
17;HS Maghdid, KZ Ghafoor;a smartphone enabled approach to manage covid-19 lockdown and economic crisis;2020;SN Computer Science;Springer;https://link.springer.com/article/10.1007/s42979-020-00290-0;https://scholar.google.com/scholar?cites=1451154887138863585&as_sdt=2005&sciodt=2007&hl=en;10;16.12.2021 01:42;HTML;10.1007/s42979-020-00290-0;;;;;;;17;1700;9;2;1;The emergence of novel COVID-19 causes an over-load in health system and high mortality rate. The key priority is to contain the epidemic and prevent the infection rate. In this context, many countries are now in some degree of lockdown to ensure extreme social distancing of …;https://link.springer.com/article/10.1007/s42979-020-00290-0;https://scholar.google.com/scholar?q=related:4en7aa6JIxQJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
17;Y Kitamura, S Karkour, Y Ichisugi, N Itsubo;evaluation of the economic environmental and social impacts of the covid-19 pandemic on the japanese tourism industry;2020;Sustainability;mdpi.com;https://www.mdpi.com/919042;https://scholar.google.com/scholar?cites=2861390560015888594&as_sdt=2005&sciodt=2007&hl=en;6;16.12.2021 01:42;;;;;;;;;17;1700;4;4;1;Abstract According to the United Nations Environment Program (UNEP) annual Emissions Gap Report 2019, further reductions in greenhouse gas (GHG) emissions are needed to reduce climate change impacts. In Japan, the 2030 Intended Nationally Determined …;https://www.mdpi.com/2071-1050/12/24/10302/pdf;https://scholar.google.com/scholar?q=related:0jBn1Y2ztScJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
16;J Verschuur, EE Koks, JW Hall;global economic impacts of covid-19 lockdown measures stand out in high-frequency shipping data;2021;PloS one;journals.plos.org;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248818;https://scholar.google.com/scholar?cites=10639501576556331334&as_sdt=2005&sciodt=2007&hl=en;16;16.12.2021 01:42;HTML;;;;;;;;16;1600;5;3;1;The implementation of large-scale containment measures by governments to contain the spread of the COVID-19 virus has resulted in large impacts to the global economy. Here, we derive a new high-frequency indicator of economic activity using empirical vessel tracking …;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248818;https://scholar.google.com/scholar?q=related:RkHZOVAap5MJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
16;D Piccinini, C Giunchi, M Olivieri, F Frattini, ...;covid-19 lockdown and its latency in northern italy seismic evidence and socio-economic interpretation;2020;Scientific reports;nature.com;https://www.nature.com/articles/s41598-020-73102-3;https://scholar.google.com/scholar?cites=4520875497839845977&as_sdt=2005&sciodt=2007&hl=en;8;16.12.2021 01:42;HTML;;;;;;;;16;1600;3;5;1;Abstract The Italian Government has decreed a series of progressive restrictions to delay the COVID-19 pandemic diffusion in Italy since March 10, 2020, including limitation in individual mobility and the closure of social, cultural, economic and industrial activities. Here we show …;https://www.nature.com/articles/s41598-020-73102-3;https://scholar.google.com/scholar?q=related:WeKCClBgvT4J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
